11:26:57.577 -> Flow rate: 20.65L/min	Output Liquid Quantity: 344mL
17:24:58.421 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:24:59.437 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:00.442 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:01.411 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:02.441 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:03.437 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:04.438 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:05.448 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:06.432 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:07.454 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:08.501 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:09.470 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:10.470 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:11.506 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:12.466 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:13.497 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:14.472 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:15.485 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:16.487 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:17.521 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:18.493 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:19.522 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:20.541 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:21.522 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:22.517 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:23.524 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:24.558 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:25.543 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:26.550 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:27.541 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:28.562 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:29.573 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:30.577 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:31.591 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:32.588 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:33.582 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:34.576 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:35.604 -> 	2225LFlow rate: 0.00L/min	Output Liquid Quantity: 2225324mL
17:25:36.612 -> 	2225LFlow rate: 6.22L/min	Output Liquid Quantity: 2225427mL
17:25:37.620 -> 	2225LFlow rate: 10.21L/min	Output Liquid Quantity: 2225597mL
17:25:38.584 -> 	2225LFlow rate: 10.43L/min	Output Liquid Quantity: 2225770mL
17:25:39.618 -> 	2225LFlow rate: 10.43L/min	Output Liquid Quantity: 2225943mL
17:25:40.626 -> 	2225LFlow rate: 10.42L/min	Output Liquid Quantity: 2226116mL
17:25:41.639 -> 	2226LFlow rate: 10.21L/min	Output Liquid Quantity: 2226286mL
17:25:42.649 -> 	2226LFlow rate: 10.21L/min	Output Liquid Quantity: 2226456mL
17:25:43.630 -> 	2226LFlow rate: 10.43L/min	Output Liquid Quantity: 2226629mL
17:25:44.631 -> 	2226LFlow rate: 10.21L/min	Output Liquid Quantity: 2226799mL
17:25:45.656 -> 	2226LFlow rate: 10.21L/min	Output Liquid Quantity: 2226969mL
17:25:46.629 -> 	2226LFlow rate: 10.43L/min	Output Liquid Quantity: 2227142mL
17:25:47.639 -> 	2227LFlow rate: 10.43L/min	Output Liquid Quantity: 2227315mL
17:25:48.657 -> 	2227LFlow rate: 10.43L/min	Output Liquid Quantity: 2227488mL
17:25:49.654 -> 	2227LFlow rate: 10.21L/min	Output Liquid Quantity: 2227658mL
17:25:50.643 -> 	2227LFlow rate: 10.21L/min	Output Liquid Quantity: 2227828mL
17:25:51.666 -> 	2227LFlow rate: 10.43L/min	Output Liquid Quantity: 2228001mL
17:25:52.674 -> 	2228LFlow rate: 10.21L/min	Output Liquid Quantity: 2228171mL
17:25:53.690 -> 	2228LFlow rate: 10.43L/min	Output Liquid Quantity: 2228344mL
17:25:54.702 -> 	2228LFlow rate: 10.21L/min	Output Liquid Quantity: 2228514mL
17:25:55.684 -> 	2228LFlow rate: 10.21L/min	Output Liquid Quantity: 2228684mL
17:25:56.709 -> 	2228LFlow rate: 10.43L/min	Output Liquid Quantity: 2228857mL
17:25:57.718 -> 	2228LFlow rate: 10.21L/min	Output Liquid Quantity: 2229027mL
17:25:58.716 -> 	2229LFlow rate: 10.21L/min	Output Liquid Quantity: 2229197mL
17:25:59.693 -> 	2229LFlow rate: 10.43L/min	Output Liquid Quantity: 2229370mL
17:26:00.732 -> 	2229LFlow rate: 10.21L/min	Output Liquid Quantity: 2229540mL
17:26:01.735 -> 	2229LFlow rate: 10.21L/min	Output Liquid Quantity: 2229710mL
17:26:02.742 -> 	2229LFlow rate: 10.43L/min	Output Liquid Quantity: 2229883mL
17:26:03.730 -> 	2229LFlow rate: 10.43L/min	Output Liquid Quantity: 2230056mL
17:26:04.716 -> 	2230LFlow rate: 10.21L/min	Output Liquid Quantity: 2230226mL
17:26:05.742 -> 	2230LFlow rate: 9.99L/min	Output Liquid Quantity: 2230392mL
17:26:06.718 -> 	2230LFlow rate: 10.43L/min	Output Liquid Quantity: 2230565mL
17:26:07.729 -> 	2230LFlow rate: 10.21L/min	Output Liquid Quantity: 2230735mL
17:26:08.787 -> 	2230LFlow rate: 10.21L/min	Output Liquid Quantity: 2230905mL
17:26:09.748 -> 	2230LFlow rate: 9.99L/min	Output Liquid Quantity: 2231071mL
17:26:10.772 -> 	2231LFlow rate: 2.89L/min	Output Liquid Quantity: 2231119mL
17:26:11.768 -> 	2231LFlow rate: 0.67L/min	Output Liquid Quantity: 2231130mL
17:26:12.779 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:13.756 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:14.788 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:15.780 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:16.778 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:17.779 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:18.788 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:19.802 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:20.786 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:21.817 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:22.796 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:23.822 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:24.819 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:25.818 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:26.859 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:27.818 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:28.859 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:29.867 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:30.862 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:31.856 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:32.866 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:33.872 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:34.863 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:35.853 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:36.879 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:37.904 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:38.913 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:39.905 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:40.907 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:41.920 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:42.909 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:43.938 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:44.937 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:45.942 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:46.916 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:47.935 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:48.958 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:49.942 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:50.954 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:51.960 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:52.960 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:53.949 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:54.973 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:55.973 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:56.996 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:57.959 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:58.972 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:26:59.991 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:00.983 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:01.999 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:02.992 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:04.003 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:05.007 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:06.035 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:07.024 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:08.018 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:09.039 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:10.059 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:11.039 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:12.026 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:13.061 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:14.061 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:15.100 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:16.081 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:17.059 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:18.071 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:19.086 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:20.086 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:21.109 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:22.073 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:23.107 -> 	2231LFlow rate: 0.00L/min	Output Liquid Quantity: 2231130mL
17:27:24.109 -> 	2231LFlow rate: 0.44L/min	Output Liquid Quantity: 2231137mL
17:27:25.107 -> 	2231LFlow rate: 10.21L/min	Output Liquid Quantity: 2231307mL
17:27:26.102 -> 	2231LFlow rate: 9.99L/min	Output Liquid Quantity: 2231473mL
17:27:27.109 -> 	2231LFlow rate: 10.21L/min	Output Liquid Quantity: 2231643mL
17:27:28.146 -> 	2231LFlow rate: 10.43L/min	Output Liquid Quantity: 2231816mL
17:27:29.139 -> 	2231LFlow rate: 10.21L/min	Output Liquid Quantity: 2231986mL
17:27:30.144 -> 	2231LFlow rate: 10.43L/min	Output Liquid Quantity: 2232159mL
17:27:31.150 -> 	2232LFlow rate: 10.43L/min	Output Liquid Quantity: 2232332mL
17:27:32.128 -> 	2232LFlow rate: 10.43L/min	Output Liquid Quantity: 2232505mL
17:27:33.166 -> 	2232LFlow rate: 10.21L/min	Output Liquid Quantity: 2232675mL
17:27:34.175 -> 	2232LFlow rate: 10.43L/min	Output Liquid Quantity: 2232848mL
17:27:35.138 -> 	2232LFlow rate: 10.21L/min	Output Liquid Quantity: 2233018mL
17:27:36.150 -> 	2233LFlow rate: 10.43L/min	Output Liquid Quantity: 2233191mL
17:27:37.189 -> 	2233LFlow rate: 10.43L/min	Output Liquid Quantity: 2233364mL
17:27:38.150 -> 	2233LFlow rate: 10.20L/min	Output Liquid Quantity: 2233534mL
17:27:39.191 -> 	2233LFlow rate: 10.21L/min	Output Liquid Quantity: 2233704mL
17:27:40.182 -> 	2233LFlow rate: 10.43L/min	Output Liquid Quantity: 2233877mL
17:27:41.187 -> 	2233LFlow rate: 10.21L/min	Output Liquid Quantity: 2234047mL
17:27:42.197 -> 	2234LFlow rate: 10.43L/min	Output Liquid Quantity: 2234220mL
17:27:43.199 -> 	2234LFlow rate: 10.21L/min	Output Liquid Quantity: 2234390mL
17:27:44.179 -> 	2234LFlow rate: 10.43L/min	Output Liquid Quantity: 2234563mL
17:27:45.196 -> 	2234LFlow rate: 10.21L/min	Output Liquid Quantity: 2234733mL
17:27:46.227 -> 	2234LFlow rate: 10.21L/min	Output Liquid Quantity: 2234903mL
17:27:47.209 -> 	2234LFlow rate: 10.21L/min	Output Liquid Quantity: 2235073mL
17:27:48.220 -> 	2235LFlow rate: 10.21L/min	Output Liquid Quantity: 2235243mL
17:27:49.241 -> 	2235LFlow rate: 10.21L/min	Output Liquid Quantity: 2235413mL
17:27:50.209 -> 	2235LFlow rate: 10.21L/min	Output Liquid Quantity: 2235583mL
17:27:51.221 -> 	2235LFlow rate: 10.43L/min	Output Liquid Quantity: 2235756mL
17:27:52.245 -> 	2235LFlow rate: 10.21L/min	Output Liquid Quantity: 2235926mL
17:27:53.238 -> 	2235LFlow rate: 10.43L/min	Output Liquid Quantity: 2236099mL
17:27:54.269 -> 	2236LFlow rate: 10.21L/min	Output Liquid Quantity: 2236269mL
17:27:55.265 -> 	2236LFlow rate: 10.43L/min	Output Liquid Quantity: 2236442mL
17:27:56.271 -> 	2236LFlow rate: 10.21L/min	Output Liquid Quantity: 2236612mL
17:27:57.242 -> 	2236LFlow rate: 10.43L/min	Output Liquid Quantity: 2236785mL
17:27:58.255 -> 	2236LFlow rate: 10.43L/min	Output Liquid Quantity: 2236958mL
17:27:59.276 -> 	2236LFlow rate: 10.21L/min	Output Liquid Quantity: 2237128mL
17:28:00.269 -> 	2237LFlow rate: 10.21L/min	Output Liquid Quantity: 2237298mL
17:28:01.287 -> 	2237LFlow rate: 10.21L/min	Output Liquid Quantity: 2237468mL
17:28:02.261 -> 	2237LFlow rate: 10.43L/min	Output Liquid Quantity: 2237641mL
17:28:03.271 -> 	2237LFlow rate: 10.21L/min	Output Liquid Quantity: 2237811mL
17:28:04.314 -> 	2237LFlow rate: 10.43L/min	Output Liquid Quantity: 2237984mL
17:28:05.312 -> 	2237LFlow rate: 3.33L/min	Output Liquid Quantity: 2238039mL
17:28:06.283 -> 	2238LFlow rate: 0.67L/min	Output Liquid Quantity: 2238050mL
17:28:07.321 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:08.304 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:09.318 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:10.318 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:11.330 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:12.307 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:13.356 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:14.341 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:15.334 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:16.334 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:17.332 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:18.377 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:19.347 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:20.364 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:21.373 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:22.398 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:23.383 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:24.366 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:25.402 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:26.406 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:27.415 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:28.425 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:29.430 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:30.437 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:31.398 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:32.407 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:33.430 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:34.435 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:35.435 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:36.446 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:37.427 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:38.432 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:39.476 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:40.462 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:41.467 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:42.475 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:43.480 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:44.500 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:45.492 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:46.470 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:47.498 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:48.492 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:49.511 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:50.504 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:51.500 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:52.511 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:53.522 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:54.514 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:55.556 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:56.550 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:57.524 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:58.532 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:28:59.550 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:00.551 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:01.572 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:02.548 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:03.561 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:04.567 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:05.590 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:06.609 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:07.586 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:08.600 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:09.581 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:10.629 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:11.624 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:12.617 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:13.630 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:14.614 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:15.649 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:16.652 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:17.617 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:18.624 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:19.630 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:20.629 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:21.676 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:22.642 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:23.674 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:24.682 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:25.659 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:26.696 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:27.687 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:28.712 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:29.693 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:30.722 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:31.683 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:32.722 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:33.705 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:34.713 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:35.716 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:36.712 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
17:29:37.754 -> 	2238LFlow rate: 0.00L/min	Output Liquid Quantity: 2238050mL
